1,2,5
1,7,9
2,1,3
2,8,8
2,3,2
3,8,5
3,4,9
3,9,7
4,3,6
4,10,5
4,11,24
5,11,12
5,6,1
6,5,3
6,12,2
7,1,1
7,8,10
7,13,1
8,7,6
8,2,4
8,3,4
9,3,4
9,10,7
9,15,7
10,9,12
10,4,6
11,4,22
11,5,19
11,12,11
12,11,10
12,6,5
12,18,5
13,7,1
13,19,9
13,14,10
14,13,11
14,20,6
14,9,9
15,16,6
16,10,5
16,11,7
16,22,4
17,16,2
17,23,10
18,17,4
18,12,6
18,24,4
19,13,6
19,25,6
19,20,8
20,19,6
20,21,5
21,20,5
21,15,4
21,22,4
21,26,2
22,28,10
23,17,10
23,24,6
23,29,4
24,23,6
24,18,5
24,30,6
25,26,10
26,19,6
26,25,12
26,21,2
26,27,10
26,32,12
27,28,6
28,27,8
28,22,5
28,34,11
29,28,6
29,30,6
30,23,25
30,36,5
31,25,5
31,32,11
32,26,10
32,31,11
33,27,9
33,34,10
34,33,6
34,28,10
34,35,6
35,34,5
35,29,6
36,35,6
